Place_Name,Description,Categories,City,Price,Ratings,Time_Minutes,Coordinate,Lat,Long,_1,Rating_Count,Categories_Label
Monumen Nasional,"The National Monument or what is popularly known as Monas or Tugu Monas is a 132 meter (433 foot) high memorial monument which was erected to commemorate the resistance and struggle of the Indonesian people to gain independence from the Dutch East Indies colonial administration. Construction of this monument began on 17 August 1961 under the orders of President Sukarno and was opened to the public on 12 July 1975. This monument is crowned with a flame covered in gold leaf which symbolizes the burning spirit of struggle. The National Monument is located right in the middle of Medan Merdeka Square, Central Jakarta.",Culture,Jakarta,20000,46,15.0,"{'lat': -6.1753924, 'lng': 106.8271528}",-61753924,1068271528,1,18,0
Kota Tua,"The old city in Jakarta, which is also called Kota Tua, is centered on Alun-Alun Fatahillah, which is a busy square with routine performances of traditional dances. The Jakarta History Museum is a Dutch-era building with paintings and antiques, while the Wayang Museum displays Javanese wooden puppets. Glodok Village, or Chinatown, is famous for its street food, such as dumplings and fried noodles. Nearby, there are schooners and fishing boats in the quaint Sunda Kelapa harbor",Culture,Jakarta,0,46,90.0,"{'lat': -6.137644799999999, 'lng': 106.8171245}",-61376448,1068171245,2,25,0
Pasar Seni,"The Art Market is a craft and arts center which is a forum for talented artists to channel their artistic crafts. Artists can meet with art collectors and entrepreneurs to share information and market their products. It was founded in early 1977, with the laying of the first stone by Bang Ali Sadikin, the first Governor of DKI Jakarta, precisely in July 1977. And it was inaugurated by Governor H. Tjokropanolo on December 17 1977. Since the inauguration of Pasar Seni, it has received a positive response from art lovers. which exists.",Shopping center,Jakarta,0,44,90.0,"{'lat': -6.1766868, 'lng': 106.8417666}",-61766868,1068417666,15,25,3
Museum Taman Prasasti,"Taman Prasasti Museum is a cultural heritage museum from the Dutch colonial period located on Jalan Tanah Abang No. 1, Central Jakarta. This museum has a collection of ancient tombstone inscriptions and miniatures of typical tombs from 27 provinces in Indonesia, along with a collection of antique hearses. This 1.2 ha museum is an open-air museum that displays works of art from the past about the sophistication of sculptors, sculptors, calligraphers and writers combined._x000D_",Culture,Jakarta,2000,45,90.0,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-61722241,1068189695,20,18,0
Museum Wayang,"The Wayang Museum is a museum located on Jalan Pintu Besar Utara Number 27, West Jakarta.",Culture,Jakarta,5000,45,150.0,"{'lat': -6.1349072, 'lng': 106.8124452}",-61349072,1068124452,21,25,0
Pasar Tanah Abang,"Tanah Abang Market or Saturday Market was built by Yustinus Vinck on August 30 1735. Yustinus Vinck founded Tanah Abang Market with permission from Governor General Abraham Patramini. The permit given at that time for Tanah Abang Market was to sell textiles and grocery items and was only open every Saturday. Therefore, this market is called the Saturday Market. This market was able to compete with Senen Market (Welter Vreden) which was already advanced.\nIn 1740 the Chinatown Riot incident occurred, namely the massacre of Chinese people, destruction of property, including Tanah Abang Market which was ravaged and burned. In 1881, Tanah Abang Market was rebuilt and which was previously open on Saturdays, Wednesdays were added, so that Tanah Abang Market was opened twice a week. The market building was originally very simple, consisting of bamboo walls and planks and a thatched roof made of 229 planks and 139 bamboo plots. Tanah Abang Market continued to undergo improvements until the end of the 19th century and the floor began to be hardened with a mortar foundation. In 1913, Tanah Abang Market was repaired again. In 1926 the Batavian government demolished the Tanah Abang Market and replaced it with a permanent building in the form of three long stalls made of walls and boards and a tile roof, with the market office located on top of a market building similar to a birdcage. The parking lot in front of the market is a place to park the horses pulling the wagons and carts. There was a fairly large pool of water there, and across the road there was a shop that specialized in selling horse bran feed. A few tens of meters from the bran shop there is an alley known as Alley Madat, a place where compactors were localized.\nDuring the Japanese occupation, this market barely functioned, and became a place for homeless people.\nTanah Abang Market continued to develop after the construction of Tanah Abang Station. In this place, places such as the Al Makmur Mosque and the Hok Tek Tjen Sien Temple began to be built, both of which are the same age as Tanah Abang Market. In 1973, Tanah Abang Market was rejuvenated, replaced with 4 four-story buildings, and experienced two fires, the first on 30 December 1978, in Block A on the third floor and the second in Block B on 13 August 1979. In 1975 it was recorded that the stalls were still there. 4,351 units with 3,016 traders.",Shopping center,Jakarta,0,4,45.0,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-61890096,1068119312,25,26,3
Pecinan Glodok,"The Glodok area, which is known as an electronic trading center, was once the haunted former Glodok Prison. This location is opposite Glodok-Pancoran in the Harco area. Before the May 1998 riots, this area had become an electronics shopping center for Japanese, Taiwanese and Hong Kong tourists. In Pinangsia, people can find household and building equipment products. Apart from shopping tourism, Glodok-Pancoran Chinatown is also a historical site of the beginnings of the city of Jakarta. After ethnic Chinese settled and built businesses and sugar cane plantations, Batavia began to develop rapidly.",Shopping center,Jakarta,0,43,20.0,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-61427588,1068140791,26,24,3
Pasar Taman Puring,"Puring Park is not a literal park. Since its existence in 1960, Taman Puring has been a market. Over the years, this market has become a black market, aka a market for illegal goods. Between the 1980s and 1990s, this market became increasingly shunned by the public because it became a center for goods resulting from criminal acts. Since it burned down in 2002, Taman Puring Market has slowly improved itself until it is now a favorite weekend shopping destination for Jakarta residents. There are hundreds of men's shoe stalls ranging from leather shoes, mountain shoes, futsal shoes, to trendy shoes typical of young people. Various brands ranging from Adidas, Caterpillar, Nike, Karrimor, Vans, to Converse are available in various models and colors.",Shopping center,Jakarta,0,44,60.0,"{'lat': -6.241368999999999, 'lng': 106.7890587}",-6241369,1067890587,34,23,3
Grand Indonesia Mall,"Grand Indonesia is a mall in Jakarta. This mall was opened in 2007 by President Susilo Bambang Yudhoyono. In 2007, Hotel Indonesia underwent renovation. Furthermore, after reopening, the hotel was managed by the Kempinski group and its name was changed to Hotel Indonesia-Kempinski.",Shopping center,Jakarta,0,47,120.0,"{'lat': -6.195180099999999, 'lng': 106.8204412}",-61951801,1068204412,35,27,3
Museum Macan (Modern and Contemporary Art in Nusantara),"The Museum of Modern and Contemporary Art in the Archipelago or Museum MACAN is an art museum in Kebon Jeruk in Jakarta, Indonesia. This museum is the first in Indonesia to have a collection of Indonesian and international modern and contemporary art.",Culture,Jakarta,100000,45,120.0,"{'lat': -6.190942, 'lng': 106.767622}",-6190942,106767622,39,26,0
Museum Bahari Jakarta,"The Maritime Museum is a museum that holds collections related to maritime affairs and the service of the Indonesian people from Sabang to Merauke, which is located opposite the Sunda Kelapa Harbor. The museum is one of eight museums under the supervision of the Museum Culture Service of the Special Capital Region of Jakarta Province.",Culture,Jakarta,2000,44,120.0,"{'lat': -6.1269553, 'lng': 106.8085899}",-61269553,1068085899,41,26,0
Monumen Selamat Datang,"Selamat Datang Monument is a monument located in the middle of the Hotel Indonesia Roundabout, Jakarta, Indonesia. This monument is a statue of a pair of people holding flowers and waving their hands. The statues face north which means they welcome people coming from the direction of the National Monument._x000D_",Culture,Jakarta,0,47,15.0,"{'lat': -6.194997799999999, 'lng': 106.8230496}",-61949978,1068230496,44,19,0
Galeri Indonesia Kaya,"Galeri Indonesia Kaya (abbreviated as GIK) is a public space that combines educational and digital concepts with the aim of introducing and appreciating Indonesian art and culture, especially to the younger generation, located at Grand Indonesia, Jakarta, Indonesia. The Indonesia Kaya Gallery was initiated and built to become a digital technology-based cultural edutainment space that can bring closer and channel the creative expression of the younger generation within the scope of Indonesian cultural traditions. This place has an auditorium that can be used for people who need a place to work.",Culture,Jakarta,0,48,90.0,"{'lat': -6.1948499, 'lng': 106.8200607}",-61948499,1068200607,49,26,0
Rumah Sipitung,"The Si Pitung House in Marunda, North Jakarta, Indonesia, is one of the few remaining Betawi stilt houses. This stilt house is a representation of the stilt dwelling of the Betawi people who live in coastal areas. This house is a museum and is included in the cultural heritage. It is not known exactly when Rumah Si Pitung was founded. It is estimated that the building was built in the 20th century. This stilt house, which is often called the Marunda Tinggi House, is similar to the traditional house of the Bugis tribe. This house previously belonged to Haji Saipudin, a rich fish dealer from Makassar (other sources say Haji Saipudin was a juragan sero, or ship tycoon). Haji Saipuddin is believed to be a close friend of Si Pitung. Pitung is thought to have only stopped at the house a few times (estimated to be in the 1890s). Si Pitung's last stop was in order to hide from being chased by Dutch soldiers on charges of robbery. The DKI Jakarta government first restored the stilt house which is supported by 40 pillars in 1972. Previously in the same year this building was purchased by the DKI Jakarta Provincial Government from the descendants (heirs) of H. Saipudin. The building is now a museum and is included in cultural heritage based on Governor's Decree No.475 of 1993 and Ministerial Decree No.140/M/1998. The institution that named this original Pesisir Betawi house as Si Pitung's house is the National Museum.",Culture,Jakarta,5000,45,90.0,"{'lat': -6.10016, 'lng': 106.96057}",-610016,10696057,53,30,0
